Valorant, 2021, shooter, Riot Games, Gratis
PUBG: Battlegrounds, 2017, battle royale, Tencent, Gratis
CrossFire, 2007, shooter, Tencent, Gratis
Dungeon Fighter Online (DFO), 2005, mmorpg, Tencent, Gratis
QQ Speed / GKART / Speed Drifters, 2008, carreras, Tencent, Gratis
Minecraft, 2011, sandbox, Mojang Studios, Pago
Pac-Man Doodle, 2010, laberinto, Google, Gratis
Among Us, 2018, party, Innersloth, Pago
Candy Crush Saga, 2012, logica, King, Gratis
Tetris, 1984, puzle, Varios, Pago
Solitario Microsoft, 1990, cartas, Microsoft, Gratis
Crazyracing Kartrider, 2004, carreras, Nexon, Gratis
Fortnite, 2017, battle royale, Epic Games, Gratis
Fantasy Westward Journey, 2001, mmorpg, NetEase, Gratis
Audition Online, 2004, musica, T3 Entertainment, Gratis
RuneScape, 2001, mmorpg, Jagex, Pago
Rules of Survival, 2017, battle royale, NetEase, Gratis
Roblox, 2006, sandbox, Roblox Corporation, Gratis
Dragon Nest, 2010, mmorpg, Nexon, Gratis
World of Tanks, 2010, shooter, Wargaming, Gratis
The Legend of Mir 3, 2004, mmorpg, WeMade Entertainment, Pago
League of Legends, 2009, moba, Riot Games, Gratis
Call of Duty: Warzone, 2020, battle royale, Activision Blizzard, Gratis
World of Warcraft, 2004, mmorpg, Blizzard Entertainment, Pago
Apex Legends, 2019, battle royale, Electronic Arts, Gratis
CityVille, 2010, construccion, Zynga, Gratis
Happy Farm, 2008, simulacion, 5 Minutes, Gratis
MapleStory, 2003, mmorpg, Nexon, Gratis
Scions of Fate, 2003, mmorpg, KRG Soft, Gratis
The Sims Social, 2011, simulacion, Electronic Arts, Gratis
Zhengtu, 2007, mmorpg, Zhengtu Network, Gratis
Microsoft Solitaire Collection, 2015, cartas, Microsoft, Gratis
Hearthstone, 2014, cartas, Blizzard Entertainment, Gratis
OGame, 2002, mmorts, Gameforge, Gratis
FarmVille, 2009, simulacion, Zynga, Gratis
Westward Journey Online II, 2001, mmorpg, NetEase, Gratis
Ragnarok Online, 2002, mmorpg, Gravity, Pago
Moshi Monsters, 2008, mmorpg, Mind Candy, Gratis
Yu-Gi-Oh! Duel Links, 2016, cartas, Konami, Gratis
Dragon Oath, 2007, mmorpg, KRG Soft, Gratis
Dofus, 2004, mmorpg, Ankama, Pago
Overwatch, 2016, fps, Blizzard Entertainment, Pago
Flyff, 2004, mmorpg, Gala Lab, Gratis
Rocket League, 2015, deportes, Psyonix, Gratis
Mu Online, 2003, mmorpg, Webzen, Gratis
Gardenscapes, 2016, puzzle, Playrix, Gratis
Genshin Impact, 2020, rpg, miHoYo, Gratis
StarCraft II, 2010, rts, Blizzard Entertainment, Gratis
Conquer Online, 2003, mmorpg, TQ Digital Entertainment, Gratis
FIFA Online 3, 2012, deportes, Electronic Arts, Gratis
Age of Empires II, 1999, rts, Microsoft, Pago
Sims 4, 2014, simulacion, Electronic Arts, Pago
FIFA Online 4, 2017, deportes, Electronic Arts, Gratis
Star Wars: The Force Unleashed, 2008, accion, LucasArts, Pago
Puyo Puyo!! Quest, 2013, puzzle, Sega, Gratis
Dungeon & Fighter, 2005, mmorpg, Neople, Gratis
Guitar Hero III: Legends of Rock, 2007, musica, Activision, Pago
Half-Life 2, 2004, fps, Valve Corporation, Pago
Tom Clancy's Rainbow Six: Siege, 2015, fps, Ubisoft, Pago
Warframe, 2013, mmorpg, Digital Extremes, Gratis
Counter-Strike: Global Offensive, 2012, fps, Valve Corporation, Gratis
FarmVille 2, 2012, simulacion, Zynga, Gratis
Dota 2, 2013, moba, Valve Corporation, Gratis
Drakensang Online, 2011, mmorpg, Bigpoint, Gratis
Teamfight Tactics, 2019, autobattler, Riot Games, Gratis
Grand Theft Auto Online, 2013, sandbox, Rockstar Games, Pago
Evony, 2009, mmorts, Evony LLC, Gratis
